Strada FRANCEZA,14,Sector 3,1869,S+P+3E,3,2013,Mircea MIRONESCU,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4306788,26.0977027",44.4306788,26.0977027
Strada FRANCEZA,30,Sector 3,1870,S+P+2E+Ma,23,1993,Nicolae MIHAILESCU,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4303616,26.0987623",44.4303616,26.0987623
Strada GABROVENI,22,Sector 3,1870,S+P+1E,10,2019,Catalin STEFAN,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4309293,26.1027299",44.4309293,26.1027299
Strada GABROVENI,59,Sector 3,1924,S+P+2E+Ma,1,1993,Alexandru PROGRESEANU,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4311263,26.1029077",44.4311263,26.1029077
Strada GABROVENI,18,Sector 3,1885,S+P+1E,0,2019,Catalin STEFAN,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.431011,26.1024749",44.431011,26.1024749
Strada GABROVENI (colT cu Strada COVACI),12 (7),Sector 3,1924,S+P+4E,12,1993,Ioan VARSA,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.43038139999999,26.1021776",44.43038139999999,26.1021776
Strada GEORGE ENESCU,21,Sector 1,1932,S+P+5E+Ma,12,1999,Marin TEODOR,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4430317,26.0967703",44.4430317,26.0967703
Bulevardul GHEORGHE MAGHERU,22,Sector 1,1936,S+P+6E+Ma,28,1995,Valentin GEORGESCU,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4438587,26.0987383",44.4438587,26.0987383
Bulevardul GHEORGHE MAGHERU,29,Sector 1,1945,S1+S2+P+Mz+7E+Ma,24,1994,Ion NEGESCU,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4449597,26.0974863",44.4449597,26.0974863
Bulevardul GHEORGHE MAGHERU,27,Sector 1,1935,S+P+Mz+7E,49,2018,Dumitru POPESCU,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.444693,26.0974537",44.444693,26.0974537
